"id","tipo_id","documento","nombre_1","nombre_2","apellido_1","apellido_2","f_nacimiento","edad","rh","sexo","direccion","telefono","celular","correo","clase","afiliacion","ocupacion","municipio","depto","activo","created_at","updated_at"
"2",1,"105385581","Juan","jak","González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas2222@gmail.com","1","1","1","339","6","1","2019-01-11 13:26:17","2019-10-24 04:12:48"
"3",1,"105385681","Hernan","Alonzo","González","Cano","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-01-15 13:00:18","2019-10-16 04:12:26"
"4",1,"105388681","Ide Cuatro","probando","González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-04 16:18:31","2019-10-24 22:11:26"
"5",1,"489231723","IDE cinco","5555","González","E","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","0","2019-07-04 17:26:19","2019-10-24 22:35:12"
"6",1,"149123559","Ramero",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 16:33:06","2019-10-24 22:14:07"
"7",1,"874752323","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","0","2019-07-05 16:33:17","2019-10-24 22:14:02"
"8",1,"771450943","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 16:53:20","2019-07-05 16:53:20"
"9",1,"755965783","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 16:53:26","2019-07-05 16:53:26"
"10",1,"977357745","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 16:59:50","2019-07-05 16:59:50"
"11",1,"595218347","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 17:07:06","2019-07-05 17:07:06"
"12",1,"853177449","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 17:07:17","2019-07-05 17:07:17"
"13",1,"713968742","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 17:08:35","2019-07-05 17:08:35"
"14",1,"367494023","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 17:16:49","2019-07-05 17:16:49"
"15",1,"178398287","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 19:21:30","2019-07-05 19:21:30"
"16",1,"800516132","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 19:53:07","2019-07-05 19:53:07"
"17",1,"319292489","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 19:55:37","2019-07-05 19:55:37"
"18",1,"385775629","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 19:55:53","2019-07-05 19:55:53"
"19",1,"626861199","Ramiro",NULL,"González","Escobar","1997-02-04","21","O+","Masculino","DIAG60C TRVS10 A36",NULL,"3104090311","sebas22@gmail.com","1","1","1","1","1","1","2019-07-05 20:52:41","2019-07-05 20:52:41"
